(stockavg).a1,a1
(stockavg).a2,a2
(stockavg).a3,a3
(stockavg).a4,a4
(stockavg).a5,a5
(stockavg).a6,a6
(aord).a1,aord_a1
(aord).a2,aord_a2
(aord).a3,aord_a3
(aord).a4,aord_a4
(aord).a5,aord_a5
(aord).a6,aord_a6
(n225).a1,n225_a1
(n225).a2,n225_a2
(n225).a3,n225_a3
(n225).a4,n225_a4
(n225).a5,n225_a5
(n225).a6,n225_a6
(ndx).a1,ndx_a1
(ndx).a2,ndx_a2
(ndx).a3,ndx_a3
(ndx).a4,ndx_a4
(ndx).a5,ndx_a5
(ndx).a6,ndx_a6
(dji).a1,dji_a1
(dji).a2,dji_a2
(dji).a3,dji_a3
(dji).a4,dji_a4
(dji).a5,dji_a5
(dji).a6,dji_a6
(ftse).a1,ftse_a1
(ftse).a2,ftse_a2
(ftse).a3,ftse_a3
(ftse).a4,ftse_a4
(ftse).a5,ftse_a5
(ftse).a6,ftse_a6
(gdaxi).a1,gdaxi_a1
(gdaxi).a2,gdaxi_a2
(gdaxi).a3,gdaxi_a3
(gdaxi).a4,gdaxi_a4
(gdaxi).a5,gdaxi_a5
(gdaxi).a6,gdaxi_a6
(ssec).a1,ssec_a1
(ssec).a2,ssec_a2
(ssec).a3,ssec_a3
(ssec).a4,ssec_a4
(ssec).a5,ssec_a5
(ssec).a6,ssec_a6
(hsi).a1,hsi_a1
(hsi).a2,hsi_a2
(hsi).a3,hsi_a3
(hsi).a4,hsi_a4
(hsi).a5,hsi_a5
(hsi).a6,hsi_a6
(bsesn).a1,bsesn_a1
(bsesn).a2,bsesn_a2
(bsesn).a3,bsesn_a3
(bsesn).a4,bsesn_a4
(bsesn).a5,bsesn_a5
(bsesn).a6,bsesn_a6
(jkse).a1,jkse_a1
(jkse).a2,jkse_a2
(jkse).a3,jkse_a3
(jkse).a4,jkse_a4
(jkse).a5,jkse_a5
(jkse).a6,jkse_a6
(nz50).a1,nz50_a1
(nz50).a2,nz50_a2
(nz50).a3,nz50_a3
(nz50).a4,nz50_a4
(nz50).a5,nz50_a5
(nz50).a6,nz50_a6
(sti).a1,sti_a1
(sti).a2,sti_a2
(sti).a3,sti_a3
(sti).a4,sti_a4
(sti).a5,sti_a5
(sti).a6,sti_a6
(ks11).a1,ks11_a1
(ks11).a2,ks11_a2
(ks11).a3,ks11_a3
(ks11).a4,ks11_a4
(ks11).a5,ks11_a5
(ks11).a6,ks11_a6
(twii).a1,twii_a1
(twii).a2,twii_a2
(twii).a3,twii_a3
(twii).a4,twii_a4
(twii).a5,twii_a5
(twii).a6,twii_a6
(bvsp).a1,bvsp_a1
(bvsp).a2,bvsp_a2
(bvsp).a3,bvsp_a3
(bvsp).a4,bvsp_a4
(bvsp).a5,bvsp_a5
(bvsp).a6,bvsp_a6
(gsptse).a1,gsptse_a1
(gsptse).a2,gsptse_a2
(gsptse).a3,gsptse_a3
(gsptse).a4,gsptse_a4
(gsptse).a5,gsptse_a5
(gsptse).a6,gsptse_a6
(mxx).a1,mxx_a1
(mxx).a2,mxx_a2
(mxx).a3,mxx_a3
(mxx).a4,mxx_a4
(mxx).a5,mxx_a5
(mxx).a6,mxx_a6
(gspc).a1,gspc_a1
(gspc).a2,gspc_a2
(gspc).a3,gspc_a3
(gspc).a4,gspc_a4
(gspc).a5,gspc_a5
(gspc).a6,gspc_a6
(atx).a1,atx_a1
(atx).a2,atx_a2
(atx).a3,atx_a3
(atx).a4,atx_a4
(atx).a5,atx_a5
(atx).a6,atx_a6
(bfx).a1,bfx_a1
(bfx).a2,bfx_a2
(bfx).a3,bfx_a3
(bfx).a4,bfx_a4
(bfx).a5,bfx_a5
(bfx).a6,bfx_a6
(fchi).a1,fchi_a1
(fchi).a2,fchi_a2
(fchi).a3,fchi_a3
(fchi).a4,fchi_a4
(fchi).a5,fchi_a5
(fchi).a6,fchi_a6
(oseax).a1,oseax_a1
(oseax).a2,oseax_a2
(oseax).a3,oseax_a3
(oseax).a4,oseax_a4
(oseax).a5,oseax_a5
(oseax).a6,oseax_a6
(omxspi).a1,omxspi_a1
(omxspi).a2,omxspi_a2
(omxspi).a3,omxspi_a3
(omxspi).a4,omxspi_a4
(omxspi).a5,omxspi_a5
(omxspi).a6,omxspi_a6
(ssmi).a1,ssmi_a1
(ssmi).a2,ssmi_a2
(ssmi).a3,ssmi_a3
(ssmi).a4,ssmi_a4
(ssmi).a5,ssmi_a5
(ssmi).a6,ssmi_a6
(gd).a1,gd_a1
(gd).a2,gd_a2
(gd).a3,gd_a3
(gd).a4,gd_a4
(gd).a5,gd_a5
(gd).a6,gd_a6
(eurusd).a1,eurusd_a1
(eurusd).a2,eurusd_a2
(eurusd).a3,eurusd_a3
(eurusd).a4,eurusd_a4
(eurusd).a5,eurusd_a5
(eurusd).a6,eurusd_a6
(usdjpy).a1,usdjpy_a1
(usdjpy).a2,usdjpy_a2
(usdjpy).a3,usdjpy_a3
(usdjpy).a4,usdjpy_a4
(usdjpy).a5,usdjpy_a5
(usdjpy).a6,usdjpy_a6
(usdchf).a1,usdchf_a1
(usdchf).a2,usdchf_a2
(usdchf).a3,usdchf_a3
(usdchf).a4,usdchf_a4
(usdchf).a5,usdchf_a5
(usdchf).a6,usdchf_a6
(gbpusd).a1,gbpusd_a1
(gbpusd).a2,gbpusd_a2
(gbpusd).a3,gbpusd_a3
(gbpusd).a4,gbpusd_a4
(gbpusd).a5,gbpusd_a5
(gbpusd).a6,gbpusd_a6
(usdcad).a1,usdcad_a1
(usdcad).a2,usdcad_a2
(usdcad).a3,usdcad_a3
(usdcad).a4,usdcad_a4
(usdcad).a5,usdcad_a5
(usdcad).a6,usdcad_a6
(eurgbp).a1,eurgbp_a1
(eurgbp).a2,eurgbp_a2
(eurgbp).a3,eurgbp_a3
(eurgbp).a4,eurgbp_a4
(eurgbp).a5,eurgbp_a5
(eurgbp).a6,eurgbp_a6
(eurjpy).a1,eurjpy_a1
(eurjpy).a2,eurjpy_a2
(eurjpy).a3,eurjpy_a3
(eurjpy).a4,eurjpy_a4
(eurjpy).a5,eurjpy_a5
(eurjpy).a6,eurjpy_a6
(eurchf).a1,eurchf_a1
(eurchf).a2,eurchf_a2
(eurchf).a3,eurchf_a3
(eurchf).a4,eurchf_a4
(eurchf).a5,eurchf_a5
(eurchf).a6,eurchf_a6
(audusd).a1,audusd_a1
(audusd).a2,audusd_a2
(audusd).a3,audusd_a3
(audusd).a4,audusd_a4
(audusd).a5,audusd_a5
(audusd).a6,audusd_a6
(gbpjpy).a1,gbpjpy_a1
(gbpjpy).a2,gbpjpy_a2
(gbpjpy).a3,gbpjpy_a3
(gbpjpy).a4,gbpjpy_a4
(gbpjpy).a5,gbpjpy_a5
(gbpjpy).a6,gbpjpy_a6
(chfjpy).a1,chfjpy_a1
(chfjpy).a2,chfjpy_a2
(chfjpy).a3,chfjpy_a3
(chfjpy).a4,chfjpy_a4
(chfjpy).a5,chfjpy_a5
(chfjpy).a6,chfjpy_a6
(gbpchf).a1,gbpchf_a1
(gbpchf).a2,gbpchf_a2
(gbpchf).a3,gbpchf_a3
(gbpchf).a4,gbpchf_a4
(gbpchf).a5,gbpchf_a5
(gbpchf).a6,gbpchf_a6
(nzdusd).a1,nzdusd_a1
(nzdusd).a2,nzdusd_a2
(nzdusd).a3,nzdusd_a3
(nzdusd).a4,nzdusd_a4
(nzdusd).a5,nzdusd_a5
(nzdusd).a6,nzdusd_a6
next5, next5
